segment,date,direction,time,link,speed
I-5B,20160530,N,7-9AM,715930,65.204947
I-5B,20160602,N,7-9AM,715930,30.7804878
I-5B,20160616,N,7-9AM,715930,35.29225352
I-5B,20170530,N,7-9AM,715930,35.68976898
I-5B,20170602,N,7-9AM,715930,33.37943262
I-5B,20170612,N,7-9AM,715930,33.50340136
I-5B,20170614,N,7-9AM,715930,32.06060606
I-5B,20170616,N,7-9AM,715930,37.19217082
I-5B,20160531,N,7-9AM,715933,37.89716312
I-5B,20160601,N,7-9AM,715933,35.25524476
I-5B,20160603,N,7-9AM,715933,50.19081272
I-5B,20160613,N,7-9AM,715933,40.96212121
I-5B,20160615,N,7-9AM,715933,39.57801418
I-5B,20160617,N,7-9AM,715933,40.74125874
I-5B,20170529,N,7-9AM,715933,66.56040268
I-5B,20170531,N,7-9AM,715933,34.19285714
I-5B,20170601,N,7-9AM,715933,39.05263158
I-5B,20170613,N,7-9AM,715933,32.8
I-5B,20170615,N,7-9AM,715933,31.64157706
I-5B,20160530,N,7-9AM,715938,64.37809187
I-5B,20160602,N,7-9AM,715938,33.17479675
I-5B,20160616,N,7-9AM,715938,37.78521127
I-5B,20170530,N,7-9AM,715938,37.86138614
I-5B,20170602,N,7-9AM,715938,46.70567376
I-5B,20170612,N,7-9AM,715938,0
I-5B,20170614,N,7-9AM,715938,0
I-5B,20170616,N,7-9AM,715938,0
I-5B,20160531,N,7-9AM,715944,29.83687943
I-5B,20160601,N,7-9AM,715944,36.08041958
I-5B,20160603,N,7-9AM,715944,36.41342756
I-5B,20160613,N,7-9AM,715944,27.70833333
I-5B,20160615,N,7-9AM,715944,30.06382979
I-5B,20160617,N,7-9AM,715944,28.93006993
I-5B,20170529,N,7-9AM,715944,61.87248322
I-5B,20170531,N,7-9AM,715944,31.51428571
I-5B,20170601,N,7-9AM,715944,28.60350877
I-5B,20170613,N,7-9AM,715944,28.2
I-5B,20170615,N,7-9AM,715944,20.46594982
I-5B,20160531,N,7-9AM,716921,5.581560284
I-5B,20160601,N,7-9AM,716921,8.727272727
I-5B,20160603,N,7-9AM,716921,5.943462898
I-5B,20160613,N,7-9AM,716921,9.928030303
I-5B,20160615,N,7-9AM,716921,5.45035461
I-5B,20160617,N,7-9AM,716921,7.835664336
I-5B,20170529,N,7-9AM,716921,38.33221477
I-5B,20170531,N,7-9AM,716921,22.575
I-5B,20170601,N,7-9AM,716921,24.44561404
I-5B,20170613,N,7-9AM,716921,18.8
I-5B,20170615,N,7-9AM,716921,16.7921147
I-5B,20160531,N,7-9AM,716923,36.92907801
I-5B,20160601,N,7-9AM,716923,36.35314685
I-5B,20160603,N,7-9AM,716923,54.97879859
I-5B,20160613,N,7-9AM,716923,37.57575758
I-5B,20160615,N,7-9AM,716923,38.96808511
I-5B,20160617,N,7-9AM,716923,43.36363636
I-5B,20170529,N,7-9AM,716923,0
I-5B,20170531,N,7-9AM,716923,0
