segment,date,direction,time,link,speed
I-110A,20160531,N,7-9AM,718046,0
I-110A,20160601,N,7-9AM,718046,0
I-110A,20160603,N,7-9AM,718046,0
I-110A,20160613,N,7-9AM,718046,0
I-110A,20160615,N,7-9AM,718046,0
I-110A,20160617,N,7-9AM,718046,0
I-110A,20170529,N,7-9AM,718046,0
I-110A,20170531,N,7-9AM,718046,0
I-110A,20170601,N,7-9AM,718046,0
I-110A,20170613,N,7-9AM,718046,0
I-110A,20170615,N,7-9AM,718046,0
I-110A,20160530,N,7-9AM,767751,65.19787986
I-110A,20160602,N,7-9AM,767751,65.62195122
I-110A,20160616,N,7-9AM,767751,66.01760563
I-110A,20170530,N,7-9AM,767751,65.5379538
I-110A,20170602,N,7-9AM,767751,64.76950355
I-110A,20170612,N,7-9AM,767751,65.48639456
I-110A,20170614,N,7-9AM,767751,53.81818182
I-110A,20170616,N,7-9AM,767751,64.52669039
I-110A,20160530,N,7-9AM,767760,67.06713781
I-110A,20160602,N,7-9AM,767760,67.26422764
I-110A,20160616,N,7-9AM,767760,67.17253521
I-110A,20170530,N,7-9AM,767760,66.9339934
I-110A,20170602,N,7-9AM,767760,66.9787234
I-110A,20170612,N,7-9AM,767760,66.97619048
I-110A,20170614,N,7-9AM,767760,66.74410774
I-110A,20170616,N,7-9AM,767760,66.77935943
I-110A,20160530,N,7-9AM,767768,0
I-110A,20160602,N,7-9AM,767768,0
I-110A,20160616,N,7-9AM,767768,0
I-110A,20170530,N,7-9AM,767768,0
I-110A,20170602,N,7-9AM,767768,0
I-110A,20170612,N,7-9AM,767768,0
I-110A,20170614,N,7-9AM,767768,0
I-110A,20170616,N,7-9AM,767768,0
I-110A,20160531,N,7-9AM,771667,0
I-110A,20160601,N,7-9AM,771667,0
I-110A,20160603,N,7-9AM,771667,0
I-110A,20160613,N,7-9AM,771667,0
I-110A,20160615,N,7-9AM,771667,0
I-110A,20160617,N,7-9AM,771667,0
I-110A,20170529,N,7-9AM,771667,0
I-110A,20170531,N,7-9AM,771667,0
I-110A,20170601,N,7-9AM,771667,0
I-110A,20170613,N,7-9AM,771667,0
I-110A,20170615,N,7-9AM,771667,0
I-110A,20160530,N,7-9AM,771673,0
I-110A,20160602,N,7-9AM,771673,0
I-110A,20160616,N,7-9AM,771673,0
I-110A,20170530,N,7-9AM,771673,0
I-110A,20170602,N,7-9AM,771673,0
I-110A,20170612,N,7-9AM,771673,0
I-110A,20170614,N,7-9AM,771673,0
I-110A,20170616,N,7-9AM,771673,0
I-110A,20160530,N,7-9AM,772513,0
I-110A,20160602,N,7-9AM,772513,0
I-110A,20160616,N,7-9AM,772513,0
I-110A,20170530,N,7-9AM,772513,0
I-110A,20170602,N,7-9AM,772513,0
I-110A,20170612,N,7-9AM,772513,0
I-110A,20170614,N,7-9AM,772513,0
I-110A,20170616,N,7-9AM,772513,0
I-110A,20160530,N,7-9AM,772669,0
I-110A,20160602,N,7-9AM,772669,0
I-110A,20160616,N,7-9AM,772669,0
I-110A,20170530,N,7-9AM,772669,0
I-110A,20170602,N,7-9AM,772669,0
I-110A,20170612,N,7-9AM,772669,0
I-110A,20170614,N,7-9AM,772669,0
I-110A,20170616,N,7-9AM,772669,0
I-110A,20160530,N,7-9AM,773013,0
I-110A,20160602,N,7-9AM,773013,0
I-110A,20160616,N,7-9AM,773013,0
I-110A,20170530,N,7-9AM,773013,0
I-110A,20170602,N,7-9AM,773013,70
I-110A,20170612,N,7-9AM,773013,70
I-110A,20170614,N,7-9AM,773013,70
I-110A,20170616,N,7-9AM,773013,35.6227758
I-110A,20160530,N,7-9AM,718046,0
I-110A,20160602,N,7-9AM,718046,0
I-110A,20160616,N,7-9AM,718046,0
I-110A,20170530,N,7-9AM,718046,0
I-110A,20170602,N,7-9AM,718046,0
I-110A,20170612,N,7-9AM,718046,0
I-110A,20170614,N,7-9AM,718046,0
I-110A,20170616,N,7-9AM,718046,0
I-110A,20160531,N,7-9AM,767751,65.64539007
I-110A,20160601,N,7-9AM,767751,65.10839161
I-110A,20160603,N,7-9AM,767751,64.89399293
I-110A,20160613,N,7-9AM,767751,65.39393939
I-110A,20160615,N,7-9AM,767751,65.62411348
I-110A,20160617,N,7-9AM,767751,65.51398601
I-110A,20170529,N,7-9AM,767751,66.31208054
I-110A,20170531,N,7-9AM,767751,65.10357143
I-110A,20170601,N,7-9AM,767751,65.32280702
I-110A,20170613,N,7-9AM,767751,64.85423729
I-110A,20170615,N,7-9AM,767751,65.11827957
I-110A,20160531,N,7-9AM,767760,67.82978723
I-110A,20160601,N,7-9AM,767760,66.98951049
I-110A,20160603,N,7-9AM,767760,67.43816254
I-110A,20160613,N,7-9AM,767760,67.0530303
I-110A,20160615,N,7-9AM,767760,67.59574468
I-110A,20160617,N,7-9AM,767760,66.4965035
I-110A,20170529,N,7-9AM,767760,66.04697987
I-110A,20170531,N,7-9AM,767760,67.125
I-110A,20170601,N,7-9AM,767760,66.61403509
I-110A,20170613,N,7-9AM,767760,66.64067797
I-110A,20170615,N,7-9AM,767760,67.40143369
I-110A,20160531,N,7-9AM,767768,0
I-110A,20160601,N,7-9AM,767768,0
I-110A,20160603,N,7-9AM,767768,0
I-110A,20160613,N,7-9AM,767768,0
I-110A,20160615,N,7-9AM,767768,0
I-110A,20160617,N,7-9AM,767768,0
I-110A,20170529,N,7-9AM,767768,0
I-110A,20170531,N,7-9AM,767768,0
I-110A,20170601,N,7-9AM,767768,0
I-110A,20170613,N,7-9AM,767768,0
I-110A,20170615,N,7-9AM,767768,0
I-110A,20160530,N,7-9AM,771667,0
I-110A,20160602,N,7-9AM,771667,0
I-110A,20160616,N,7-9AM,771667,0
I-110A,20170530,N,7-9AM,771667,0
I-110A,20170602,N,7-9AM,771667,0
I-110A,20170612,N,7-9AM,771667,0
I-110A,20170614,N,7-9AM,771667,0
I-110A,20170616,N,7-9AM,771667,0
I-110A,20160531,N,7-9AM,771673,0
I-110A,20160601,N,7-9AM,771673,0
I-110A,20160603,N,7-9AM,771673,0
I-110A,20160613,N,7-9AM,771673,0
I-110A,20160615,N,7-9AM,771673,0
I-110A,20160617,N,7-9AM,771673,0
I-110A,20170529,N,7-9AM,771673,0
I-110A,20170531,N,7-9AM,771673,0
I-110A,20170601,N,7-9AM,771673,0
I-110A,20170613,N,7-9AM,771673,0
I-110A,20170615,N,7-9AM,771673,0
I-110A,20160531,N,7-9AM,772513,0
I-110A,20160601,N,7-9AM,772513,0
I-110A,20160603,N,7-9AM,772513,0
I-110A,20160613,N,7-9AM,772513,0
I-110A,20160615,N,7-9AM,772513,0
I-110A,20160617,N,7-9AM,772513,0
I-110A,20170529,N,7-9AM,772513,0
I-110A,20170531,N,7-9AM,772513,0
I-110A,20170601,N,7-9AM,772513,0
I-110A,20170613,N,7-9AM,772513,0
I-110A,20170615,N,7-9AM,772513,0
I-110A,20160531,N,7-9AM,772669,0
I-110A,20160601,N,7-9AM,772669,0
I-110A,20160603,N,7-9AM,772669,0
I-110A,20160613,N,7-9AM,772669,0
I-110A,20160615,N,7-9AM,772669,0
I-110A,20160617,N,7-9AM,772669,0
I-110A,20170529,N,7-9AM,772669,0
I-110A,20170531,N,7-9AM,772669,0
I-110A,20170601,N,7-9AM,772669,0
I-110A,20170613,N,7-9AM,772669,0
I-110A,20170615,N,7-9AM,772669,0
I-110A,20160531,N,7-9AM,773013,0
I-110A,20160601,N,7-9AM,773013,0
I-110A,20160603,N,7-9AM,773013,0
I-110A,20160613,N,7-9AM,773013,0
I-110A,20160615,N,7-9AM,773013,0
I-110A,20160617,N,7-9AM,773013,0
I-110A,20170529,N,7-9AM,773013,0
I-110A,20170531,N,7-9AM,773013,0
I-110A,20170601,N,7-9AM,773013,0
I-110A,20170613,N,7-9AM,773013,70
I-110A,20170615,N,7-9AM,773013,70
I-110A,20160530,S,7-9AM,718045,65.1448763
I-110A,20160602,S,7-9AM,718045,18.3577236
I-110A,20160616,S,7-9AM,718045,19.3239437
I-110A,20170530,S,7-9AM,718045,0
I-110A,20170602,S,7-9AM,718045,17.8900709
I-110A,20170612,S,7-9AM,718045,13.1632653
I-110A,20170614,S,7-9AM,718045,15.0909091
I-110A,20170616,S,7-9AM,718045,7.37010676
I-110A,20160531,S,7-9AM,760650,20.358156
I-110A,20160601,S,7-9AM,760650,19.2622378
I-110A,20160603,S,7-9AM,760650,20.0671378
I-110A,20160613,S,7-9AM,760650,19.0227273
I-110A,20160615,S,7-9AM,760650,21.8333333
I-110A,20160617,S,7-9AM,760650,22.7062937
I-110A,20170529,S,7-9AM,760650,0
I-110A,20170531,S,7-9AM,760650,0
I-110A,20170601,S,7-9AM,760650,0
I-110A,20170613,S,7-9AM,760650,15.9898305
I-110A,20170615,S,7-9AM,760650,15.702509
I-110A,20160531,S,7-9AM,767750,45.070922
I-110A,20160601,S,7-9AM,767750,41.8146853
I-110A,20160603,S,7-9AM,767750,46.6537102
I-110A,20160613,S,7-9AM,767750,41.2651515
I-110A,20160615,S,7-9AM,767750,48.2056738
I-110A,20160617,S,7-9AM,767750,65.4965035
I-110A,20170529,S,7-9AM,767750,67.5302013
I-110A,20170531,S,7-9AM,767750,34.1642857
